Entity,Code,Day,people_vaccinated_per_hundred
Alabama,,2021-01-12,1.45
Alabama,,2021-01-13,1.53
Alabama,,2021-01-14,1.64
Alabama,,2021-01-15,1.77
Alabama,,2021-01-19,2.33
Alabama,,2021-01-20,2.47
Alabama,,2021-01-21,2.95
Alabama,,2021-01-22,3.56
Alabama,,2021-01-23,3.96
Alabama,,2021-01-24,4.36
Alabama,,2021-01-25,4.5
Alabama,,2021-01-26,4.57
Alabama,,2021-01-27,4.74
Alabama,,2021-01-28,4.92
Alabama,,2021-01-29,5.23
Alabama,,2021-01-30,5.88
Alabama,,2021-01-31,6.08
Alabama,,2021-02-01,6.15
Alabama,,2021-02-02,6.38
Alabama,,2021-02-03,6.63
Alabama,,2021-02-04,6.91
Alabama,,2021-02-05,7.21
Alabama,,2021-02-06,7.55
Alabama,,2021-02-07,7.66
Alabama,,2021-02-08,7.72
Alabama,,2021-02-09,8.06
Alabama,,2021-02-10,8.41
Alabama,,2021-02-11,8.8
Alabama,,2021-02-12,9.14
Alabama,,2021-02-13,9.53
Alabama,,2021-02-14,9.67
Alabama,,2021-02-16,9.92
Alabama,,2021-02-17,10.08
Alabama,,2021-02-18,10.31
Alabama,,2021-02-19,11.12
Alabama,,2021-02-20,11.44
Alabama,,2021-02-21,11.57
Alabama,,2021-02-22,11.91
Alabama,,2021-02-23,12.11
Alabama,,2021-02-24,12.33
Alabama,,2021-02-25,12.54
Alabama,,2021-02-26,12.79
Alabama,,2021-02-27,13.12
Alabama,,2021-02-28,13.25
Alabama,,2021-03-01,13.32
Alabama,,2021-03-02,13.53
Alabama,,2021-03-03,13.76
Alabama,,2021-03-04,14.05
Alabama,,2021-03-05,14.36
Alabama,,2021-03-06,14.71
Alabama,,2021-03-07,14.84
Alabama,,2021-03-08,14.95
Alabama,,2021-03-09,15.24
Alabama,,2021-03-10,15.67
Alabama,,2021-03-11,16.13
Alabama,,2021-03-12,16.65
Alabama,,2021-03-13,17.16
Alabama,,2021-03-14,17.32
Alabama,,2021-03-15,17.42
Alabama,,2021-03-16,17.77
Alabama,,2021-03-17,18.23
Alabama,,2021-03-18,18.61
Alabama,,2021-03-19,19.12
Alabama,,2021-03-20,19.59
Alabama,,2021-03-21,19.75
Alabama,,2021-03-22,19.84
Alabama,,2021-03-23,20.28
Alabama,,2021-03-24,20.8
Alabama,,2021-03-25,21.39
Alabama,,2021-03-26,21.88
Alabama,,2021-03-27,22.41
Alabama,,2021-03-28,22.6
Alabama,,2021-03-29,22.72
Alabama,,2021-03-30,23.14
Alabama,,2021-03-31,23.56
Alabama,,2021-04-01,24.15
Alabama,,2021-04-02,24.71
Alabama,,2021-04-03,25.17
Alabama,,2021-04-04,25.34
Alabama,,2021-04-05,25.45
Alabama,,2021-04-06,25.86
Alabama,,2021-04-07,26.34
Alabama,,2021-04-08,26.88
Alabama,,2021-04-09,27.42
Alabama,,2021-04-10,27.97
Alabama,,2021-04-11,28.21
Alabama,,2021-04-12,28.34
Alabama,,2021-04-13,28.71
Alabama,,2021-04-14,29.09
Alabama,,2021-04-15,29.41
Alabama,,2021-04-16,29.76
Alabama,,2021-04-17,30.11
Alabama,,2021-04-18,30.21
Alabama,,2021-04-19,30.26
Alabama,,2021-04-20,30.48
Alabama,,2021-04-21,30.74
Alabama,,2021-04-22,30.98
Alabama,,2021-04-23,31.24
Alabama,,2021-04-24,31.48
Alabama,,2021-04-25,31.54
Alabama,,2021-04-26,31.61
Alabama,,2021-04-27,31.79
Alabama,,2021-04-28,31.99
Alabama,,2021-04-29,32.21
Alabama,,2021-04-30,32.42
