Entity,Code,Day,daily_vaccinations_per_million
Alabama,,2021-01-13,0.12050000000000001
Alabama,,2021-01-14,0.14450000000000002
Alabama,,2021-01-15,0.1525
Alabama,,2021-01-16,0.1529
Alabama,,2021-01-17,0.1531
Alabama,,2021-01-18,0.15330000000000002
Alabama,,2021-01-19,0.1534
Alabama,,2021-01-20,0.1607
Alabama,,2021-01-21,0.21450000000000002
Alabama,,2021-01-22,0.2877
Alabama,,2021-01-23,0.3304
Alabama,,2021-01-24,0.37310000000000004
Alabama,,2021-01-25,0.37110000000000004
Alabama,,2021-01-26,0.3618
Alabama,,2021-01-27,0.37070000000000003
Alabama,,2021-01-28,0.3294
Alabama,,2021-01-29,0.29600000000000004
Alabama,,2021-01-30,0.3522
Alabama,,2021-01-31,0.32120000000000004
Alabama,,2021-02-01,0.31370000000000003
Alabama,,2021-02-02,0.3407
Alabama,,2021-02-03,0.3552
Alabama,,2021-02-04,0.3771
Alabama,,2021-02-05,0.3778
Alabama,,2021-02-06,0.3285
Alabama,,2021-02-07,0.31570000000000004
Alabama,,2021-02-08,0.3186
Alabama,,2021-02-09,0.34700000000000003
Alabama,,2021-02-10,0.3714
Alabama,,2021-02-11,0.39280000000000004
Alabama,,2021-02-12,0.40940000000000004
Alabama,,2021-02-13,0.4253
Alabama,,2021-02-14,0.4368
Alabama,,2021-02-15,0.45690000000000003
Alabama,,2021-02-16,0.42450000000000004
Alabama,,2021-02-17,0.3911
Alabama,,2021-02-18,0.3753
Alabama,,2021-02-19,0.48950000000000005
Alabama,,2021-02-20,0.5121
Alabama,,2021-02-21,0.5138
Alabama,,2021-02-22,0.4928
Alabama,,2021-02-23,0.5198
Alabama,,2021-02-24,0.5527000000000001
Alabama,,2021-02-25,0.5615
Alabama,,2021-02-26,0.45080000000000003
Alabama,,2021-02-27,0.4491
Alabama,,2021-02-28,0.4484
Alabama,,2021-03-01,0.451
Alabama,,2021-03-02,0.4576
Alabama,,2021-03-03,0.4671
Alabama,,2021-03-04,0.4878
Alabama,,2021-03-05,0.4974
Alabama,,2021-03-06,0.4913
Alabama,,2021-03-07,0.4884
Alabama,,2021-03-08,0.4903
Alabama,,2021-03-09,0.4919
Alabama,,2021-03-10,0.5063
Alabama,,2021-03-11,0.5175000000000001
Alabama,,2021-03-12,0.5379
Alabama,,2021-03-13,0.5493
Alabama,,2021-03-14,0.5492
Alabama,,2021-03-15,0.5528000000000001
Alabama,,2021-03-16,0.5574
Alabama,,2021-03-17,0.5541
Alabama,,2021-03-18,0.5252
Alabama,,2021-03-19,0.5171
Alabama,,2021-03-20,0.5027
Alabama,,2021-03-21,0.5071
Alabama,,2021-03-22,0.5036
Alabama,,2021-03-23,0.5161
Alabama,,2021-03-24,0.5199
Alabama,,2021-03-25,0.5507000000000001
Alabama,,2021-03-26,0.5382
Alabama,,2021-03-27,0.5392
Alabama,,2021-03-28,0.5432
Alabama,,2021-03-29,0.5457000000000001
Alabama,,2021-03-30,0.5483
Alabama,,2021-03-31,0.5429
Alabama,,2021-04-01,0.562
Alabama,,2021-04-02,0.5887
Alabama,,2021-04-03,0.5867
Alabama,,2021-04-04,0.5819
Alabama,,2021-04-05,0.5777
Alabama,,2021-04-06,0.5806
Alabama,,2021-04-07,0.6016
Alabama,,2021-04-08,0.5954
Alabama,,2021-04-09,0.6056
Alabama,,2021-04-10,0.6354000000000001
Alabama,,2021-04-11,0.652
Alabama,,2021-04-12,0.6632
Alabama,,2021-04-13,0.6713
Alabama,,2021-04-14,0.6808000000000001
Alabama,,2021-04-15,0.6732
Alabama,,2021-04-16,0.6533
Alabama,,2021-04-17,0.6275000000000001
Alabama,,2021-04-18,0.6109
Alabama,,2021-04-19,0.5975
Alabama,,2021-04-20,0.5840000000000001
Alabama,,2021-04-21,0.5584
Alabama,,2021-04-22,0.5446
Alabama,,2021-04-23,0.5363
Alabama,,2021-04-24,0.5268
Alabama,,2021-04-25,0.5219
Alabama,,2021-04-26,0.5264
Alabama,,2021-04-27,0.5009
Alabama,,2021-04-28,0.4874
Alabama,,2021-04-29,0.48260000000000003
Alabama,,2021-04-30,0.4706
Alabama,,2021-05-01,0.45420000000000005
Alabama,,2021-05-02,0.4408
Alabama,,2021-05-03,0.4344
Alabama,,2021-05-04,0.4224
Alabama,,2021-05-05,0.41700000000000004
Alabama,,2021-05-06,0.3299
Alabama,,2021-05-07,0.39390000000000003
Alabama,,2021-05-08,0.4097
Alabama,,2021-05-09,0.4239
Alabama,,2021-05-10,0.4262
Alabama,,2021-05-11,0.3765
Alabama,,2021-05-12,0.3517
Alabama,,2021-05-13,0.46230000000000004
Alabama,,2021-05-14,0.38820000000000005
Alabama,,2021-05-15,0.3592
Alabama,,2021-05-16,0.3435
Alabama,,2021-05-17,0.3279
Alabama,,2021-05-18,0.3836
Alabama,,2021-05-19,0.3335
Alabama,,2021-05-20,0.31270000000000003
Alabama,,2021-05-21,0.2503
Alabama,,2021-05-22,0.23700000000000002
Alabama,,2021-05-23,0.2792
Alabama,,2021-05-24,0.2795
Alabama,,2021-05-25,0.2645
Alabama,,2021-05-26,0.2812
Alabama,,2021-05-27,0.1988
Alabama,,2021-05-28,0.2078
Alabama,,2021-05-29,0.1686
Alabama,,2021-05-30,0.11510000000000001
Alabama,,2021-05-31,0.1159
Alabama,,2021-06-01,0.0755
Alabama,,2021-06-02,0.0661
Alabama,,2021-06-03,0.0533
Alabama,,2021-06-04,0.0465
Alabama,,2021-06-05,0.0361
Alabama,,2021-06-06,0.0396
Alabama,,2021-06-07,0.0424
Alabama,,2021-06-08,0.0424
Alabama,,2021-06-09,0.0443
Alabama,,2021-06-10,0.11230000000000001
Alabama,,2021-06-11,0.1331
Alabama,,2021-06-12,0.2104
Alabama,,2021-06-13,0.23190000000000002
Alabama,,2021-06-14,0.2672
Alabama,,2021-06-15,0.2705
Alabama,,2021-06-16,0.2952
Alabama,,2021-06-17,0.5508000000000001
Alabama,,2021-06-18,0.5124000000000001
Alabama,,2021-06-19,0.49560000000000004
Alabama,,2021-06-20,0.4882
Alabama,,2021-06-21,0.45840000000000003
Alabama,,2021-06-22,0.4711
Alaska,,2021-01-13,0.3885
Alaska,,2021-01-14,0.46190000000000003
Alaska,,2021-01-15,0.6015
Alaska,,2021-01-16,0.5989
Alaska,,2021-01-17,0.5972000000000001
Alaska,,2021-01-18,0.5963
Alaska,,2021-01-19,0.5955
Alaska,,2021-01-20,0.5782
Alaska,,2021-01-21,0.5724
Alaska,,2021-01-22,0.6261
Alaska,,2021-01-23,0.6831
Alaska,,2021-01-24,0.7142000000000001
Alaska,,2021-01-25,0.6839000000000001
Alaska,,2021-01-26,0.6213000000000001
Alaska,,2021-01-27,0.6504
Alaska,,2021-01-28,0.663
Alaska,,2021-01-29,0.5722
Alaska,,2021-01-30,0.5257000000000001
Alaska,,2021-01-31,0.49470000000000003
Alaska,,2021-02-01,0.48800000000000004
