Entity,Code,Day,share_doses_used
Alabama,,2021-01-12,20.7
Alabama,,2021-01-13,22.2
Alabama,,2021-01-14,21.2
Alabama,,2021-01-15,22.6
Alabama,,2021-01-19,29.4
Alabama,,2021-01-20,28.799999999999997
Alabama,,2021-01-21,33.6
Alabama,,2021-01-22,38.4
Alabama,,2021-01-23,42.5
Alabama,,2021-01-24,46.800000000000004
Alabama,,2021-01-25,48.1
Alabama,,2021-01-26,44.800000000000004
Alabama,,2021-01-27,42
Alabama,,2021-01-28,42.6
Alabama,,2021-01-29,45.6
Alabama,,2021-01-30,51.9
Alabama,,2021-01-31,53.7
Alabama,,2021-02-01,54.300000000000004
Alabama,,2021-02-02,54.6
Alabama,,2021-02-03,50.8
Alabama,,2021-02-04,51.1
Alabama,,2021-02-05,53.800000000000004
Alabama,,2021-02-06,56.599999999999994
Alabama,,2021-02-07,57.49999999999999
Alabama,,2021-02-08,58.199999999999996
Alabama,,2021-02-09,59.599999999999994
Alabama,,2021-02-10,59.9
Alabama,,2021-02-11,59.599999999999994
Alabama,,2021-02-12,61
Alabama,,2021-02-13,62.4
Alabama,,2021-02-14,63.4
Alabama,,2021-02-16,62.7
Alabama,,2021-02-17,63
Alabama,,2021-02-18,65.10000000000001
Alabama,,2021-02-19,68.60000000000001
Alabama,,2021-02-20,72
Alabama,,2021-02-21,72.89999999999999
Alabama,,2021-02-22,73.3
Alabama,,2021-02-23,75.2
Alabama,,2021-02-24,73.7
Alabama,,2021-02-25,73.9
Alabama,,2021-02-26,64.8
Alabama,,2021-02-27,66.4
Alabama,,2021-02-28,67.2
Alabama,,2021-03-01,67.60000000000001
Alabama,,2021-03-02,66.5
Alabama,,2021-03-03,68.10000000000001
Alabama,,2021-03-04,67.4
Alabama,,2021-03-05,68.4
Alabama,,2021-03-06,67.5
Alabama,,2021-03-07,68.2
Alabama,,2021-03-08,68.60000000000001
Alabama,,2021-03-09,67.60000000000001
Alabama,,2021-03-10,66.10000000000001
Alabama,,2021-03-11,66.60000000000001
Alabama,,2021-03-12,68
Alabama,,2021-03-13,67.10000000000001
Alabama,,2021-03-14,67.7
